dt,p,ql_m3_fact,qo_m3_fact,wc_fact,status,event,work_time
2018-02-01,51.18809170021,42.583984937631385,10.16301982151771,0.7613417382989757,В работе,,10.0
2018-02-02,51.18809170021,42.96331478120495,10.094972765578934,0.7650327304355212,В работе,,10.0
2018-02-03,51.22981786255,41.0,9.225268176400478,0.7749934591121835,В работе,,10.0
2018-02-04,50.07963375503,40.754956265882136,9.639994716450348,0.7634644813857785,В работе,,9.74777777778
2018-02-05,50.07963375503,40.346286871403315,9.96729162032267,0.7529564083036524,В работе,,9.75333333333
2018-02-06,50.07963375503,40.658472811604724,9.56207095303079,0.7648197216521722,В работе,,10.0
2018-02-07,50.07963375503,41.67832985769628,9.83328110929685,0.7640672948539217,В работе,,9.83111111111
2018-02-08,50.07963375503,39.46071073895895,11.545619417565067,0.7074148133331452,В работе,,10.00111111111
2018-02-09,50.07963375503,40.442233095390584,10.40174752688711,0.742799872045823,В работе,,10.0
2018-02-10,50.07963375503,41.91962864659828,10.024328384237826,0.7608679106213578,В работе,,10.0
2018-02-11,45.24805380435,38.9206767878983,9.487614338828013,0.7562320308423306,В работе,,9.49972222222
2018-02-12,45.24805380435,40.47933819295287,9.539082752959041,0.76434686981568,В работе,,9.655
2018-02-13,45.29336990185,40.0,8.920143027413587,0.7769964243146603,В работе,,8.71666666667
2018-02-14,45.29336990185,40.11365117745244,9.723199051931593,0.7576087250467759,В работе,,8.71722222222
2018-02-15,45.29336990185,38.71563136711509,10.980683727148813,0.7163759613519886,В работе,,8.71722222222
2018-02-16,45.29336990185,40.0,8.920143027413587,0.7769964243146603,В работе,,8.72694444444
2018-02-17,45.29336990185,37.7342279073649,12.16459993187984,0.6776242523964409,В работе,,8.73333333333
2018-02-18,45.98778837768,38.41605995219129,10.580317026081769,0.7245860965635479,В работе,,8.73222222222
2018-02-19,45.98778837768,38.8455678769474,10.516576607856802,0.7292721619833036,В работе,,8.73361111111
2018-02-20,45.98778837768,39.88585325491339,9.735221858955551,0.755922938473021,В работе,,8.73333333333
2018-02-21,45.98778837768,40.27696939240828,9.747654448127687,0.7579844115589044,В работе,,8.73388888889
2018-02-22,45.98778837768,38.766789374636204,9.6501451109888,0.7510718512763256,В работе,,8.73305555556
2018-02-23,45.64910175301,38.0,10.487485101311085,0.7240135499654977,В работе,,8.72583333333
2018-02-24,45.64910175301,39.94801589328477,9.657257954443487,0.7582543778834616,В работе,,8.71666666667
2018-02-25,44.25348031288,38.68961446207152,9.65436636242125,0.7504662040019632,В работе,,8.71722222222
2018-02-26,44.25348031288,38.10533805136625,12.132349184530238,0.6816102466227764,В работе,,8.71611111111
2018-02-27,44.25348031288,39.88443429647361,10.969434254188434,0.7249695414344062,В работе,,8.72472222222
2018-02-28,44.25348031288,39.72235025414096,9.674278862991477,0.7564525059293802,В работе,,8.73277777778
2018-03-01,44.25348031288,38.0,10.487485101311085,0.7240135499654977,В работе,,8.73277777778
2018-03-02,42.88422951973,38.65449117595673,9.689768456158884,0.7493236060966193,В работе,,8.73388888889
2018-03-03,42.88422951973,39.366472742760095,11.080635836601045,0.7185260688960534,В работе,,8.73388888889
2018-03-04,42.88422951973,36.855474338355705,14.608360894733242,0.6036311794383763,В работе,,8.73388888889
2018-03-05,42.88422951973,37.90022376562859,11.329861818390881,0.7010608198924186,В работе,,8.73416666667
2018-03-06,42.88422951973,37.53653737229136,12.632631584430976,0.6634577276231104,В работе,,8.72416666667
2018-03-07,42.88422951973,37.78750458210472,12.872690173935009,0.6593400300894382,В работе,,7.93055555556
2018-03-08,42.81415016001,38.0,10.810488676996425,0.7155134558685151,В работе,,8.71638888889
2018-03-09,43.50449608235,37.744889123670454,12.95174267007495,0.6568610222263789,В работе,,8.71666666667
2018-03-10,43.50449608235,39.80006567294738,9.753803842443338,0.7549299560811247,В работе,,8.72555555556
2018-03-11,43.50449608235,39.945394087578336,9.875483637405543,0.7527754109584193,В работе,,8.73388888889
2018-03-12,43.50449608235,39.03694177319501,9.7875804089744,0.7492738937942339,В работе,,8.73333333333
2018-03-13,43.50449608235,39.64754715450141,9.695431891635327,0.7554594776354393,В работе,,8.73333333333
2018-03-14,43.50449608235,37.16446020297462,12.409576369302881,0.6660902297106517,В работе,,8.73333333333
2018-03-15,45.1240869697,39.0,9.722288438617403,0.750710552855964,В работе,,8.73333333333
2018-03-16,45.1240869697,40.322048938622935,9.836431987707638,0.7560532699446804,В работе,,8.73333333333
2018-03-17,45.1240869697,37.94488712647715,11.195259190136333,0.7049600081080617,В работе,,8.72472222222
2018-03-18,45.1240869697,38.653548920072765,9.676129550237105,0.7496703453997131,В работе,,8.71638888889
2018-03-19,45.1240869697,40.172858370659704,9.73463351274671,0.7576813324327349,В работе,,8.71666666667
2018-03-20,45.1240869697,40.30697948115496,9.75848196565701,0.7578959750576331,В работе,,8.71666666667
2018-03-21,45.1240869697,37.78896368530001,13.209701173497994,0.6504349448821589,В работе,,8.73583333333
2018-03-22,44.83370889247,39.0,11.270560190703218,0.711011277161456,В работе,,8.72527777778
2018-03-23,44.4847979229,38.817330624426944,9.583703204462372,0.7531076184195018,В работе,,8.73305555556
2018-03-24,44.4847979229,40.33744131626515,9.739837428213628,0.7585410201939046,В работе,,8.73333333333
2018-03-25,44.4847979229,36.14537973931075,13.243084883257536,0.6336161086487435,В работе,,8.73361111111
2018-03-26,44.4847979229,38.704190593333436,9.636917119272088,0.7510110153050975,В работе,,8.73333333333
2018-03-27,44.4847979229,38.55633044166399,10.986078061484136,0.7150642206963613,В работе,,8.73333333333
